DocId,V Type,Voucher Type,Entry No,Entry Date,Customer,Party Bill No,Party Bill Date,TaxableValue,CGSTAmt,SGSTAmt,IGSTAmt,UGSTAmt,Net Amt,Approved By,Site Code,V Prefix,Row No,Type
PBGR-2024-1,PBGRL,Purchase Bill GST (RM Local),1040001,01/04/2024,VIJAY AMBICA  TRADING COMPANY,VTC/2820,30/03/2024,493327,0,0,24666.35,0,517993,AKASH,HO,2024,1,RAW
PBGR-2024-5,PBGRL,Purchase Bill GST (RM Local),1040002,01/04/2024,S A ENTERPRISES,2,01/04/2024,42825,1070.63,1070.63,0,0,44966,AKASH,HO,2024,2,RAW
PBGR-2024-8,PBGRL,Purchase Bill GST (RM Local),1040003,01/04/2024,MAHESHWARI FUEL CHEM PVT LTD (Coal),MF/MAR/394/2324,31/03/2024,282232.36,7055.81,7055.81,0,0,313776,AKASH,HO,2024,3,COAL
PBGR-2024-15,PBGRL,Purchase Bill GST (RM Local),1040004,01/04/2024,Vijay Traders- CRS,WKP/2024-25/0012,01/04/2024,63900,1597.5,1597.5,0,0,67095,AKASH,HO,2024,4,RAW
PBGR-2024-16,PBGRL,Purchase Bill GST (RM Local),1040005,01/04/2024,Vijay Traders- CRS,WKP/2024-25/0011,01/04/2024,20100,502.5,502.5,0,0,21105,AKASH,HO,2024,5,RAW
PBGR-2024-20,PBGRL,Purchase Bill GST (RM Local),1040006,01/04/2024,PATEL ENTERPRISES,4641,01/04/2024,145280,3632,3632,0,0,152544,AKASH,HO,2024,6,RAW
PBGR-2024-27,PBGRL,Purchase Bill GST (RM Local),1040007,01/04/2024,AKASHDEEP TRADERS,GST/007/24-25,01/04/2024,137475,3436.88,3436.88,0,0,144349,AKASH,HO,2024,7,RAW
PBGST-2024-3,PBGST,Purchase Bill Against GST (Stores),2040001,02/04/2024,M/S UTTEJ POLYMERS AND CHEMICALS,168,28/03/2024,160000,0,0,28800,0,188800,AKASH,HO,2024,8,STORE
PBGST-2024-4,PBGST,Purchase Bill Against GST (Stores),2040002,02/04/2024,IVAX PAPER CHEMICALS PVT.LTD.,SA/KA/2535/23-24,27/03/2024,361600,0,0,65088,0,426688,AKASH,HO,2024,9,STORE
PBGR-2024-2,PBGRL,Purchase Bill GST (RM Local),2040001,02/04/2024,BVJ BOARD MILL,49,01/04/2024,159840,3996,3996,0,0,167832,AKASH,HO,2024,10,RAW
PBGR-2024-3,PBGRL,Purchase Bill GST (RM Local),2040002,02/04/2024,Mariya Enterprises,181,02/04/2024,66750,1668.75,1668.75,0,0,70088,AKASH,HO,2024,11,RAW
PBGR-2024-4,PBGRL,Purchase Bill GST (RM Local),2040003,02/04/2024,GREENPACK INDUSTRIES - Creditors,2425100033,02/04/2024,63075,1576.88,1576.88,0,0,66891,AKASH,HO,2024,12,RAW
PBGR-2024-6,PBGRL,Purchase Bill GST (RM Local),2040004,02/04/2024,S A ENTERPRISES,3,02/04/2024,41400,1035,1035,0,0,43470,AKASH,HO,2024,13,RAW
PBGR-2024-13,PBGRL,Purchase Bill GST (RM Local),2040005,02/04/2024,Vijay Traders- CRS,WKP/2024-25/0029,02/04/2024,151965,3799.13,3799.13,0,0,159563,AKASH,HO,2024,14,RAW
PBGR-2024-14,PBGRL,Purchase Bill GST (RM Local),2040006,02/04/2024,Vijay Traders- CRS,WKP/2024-25/0024,02/04/2024,71550,1788.75,1788.75,0,0,75128,AKASH,HO,2024,15,RAW
PBGR-2024-18,PBGRL,Purchase Bill GST (RM Local),2040007,02/04/2024,MAHESHWARI FUEL CHEM PVT LTD (Coal),MF/APR/0001A2425,01/04/2024,222392.36,5559.81,5559.81,0,0,247248,AKASH,HO,2024,16,COAL
PBGR-2024-26,PBGRL,Purchase Bill GST (RM Local),2040008,02/04/2024,AKASHDEEP TRADERS,GST/012/24-25,02/04/2024,664090,16602.25,16602.25,0,0,697295,AKASH,HO,2024,17,RAW
PBGR-2024-58,PBGRL,Purchase Bill GST (RM Local),2040009,02/04/2024,Vijay Traders- CRS,WKP/2024-25/0030,02/04/2024,154605,3865.13,3865.13,0,0,162335,AKASH,HO,2024,18,RAW
PBGR-2024---121,PBGRL,Purchase Bill GST (RM Local),2040010,02/04/2024,WESTERN COAL FIELDS LTD,9280071428,31/03/2024,126242.98,3156.07,3156.07,0,0,146699,BHAGWAT,HO,2024,19,COAL
PBGR-2024---122,PBGRL,Purchase Bill GST (RM Local),2040011,02/04/2024,WESTERN COAL FIELDS LTD,9280071490,31/03/2024,126278.68,3156.97,3156.97,0,0,146741,BHAGWAT,HO,2024,20,COAL
PBGST-2024-5,PBGST,Purchase Bill Against GST (Stores),3040001,03/04/2024,GITANJALI INDUSTRIAL MART PVT.LTD,GIM0027,03/04/2024,15729,1415.61,1415.61,0,0,18560,AKASH,HO,2024,21,STORE
PBGST-2024-6,PBGST,Purchase Bill Against GST (Stores),3040002,03/04/2024,BOMBAY INDUSTRIAL ENTERPRISES,DKG24-25/00049,03/04/2024,11946.5,1075.19,1075.19,0,0,14097,AKASH,HO,2024,22,STORE
PBGST-2024-14,PBGST,Purchase Bill Against GST (Stores),3040004,03/04/2024,BOMBAY INDUSTRIAL ENTERPRISES,DKG24-25/00048,03/04/2024,2409.6,216.86,216.86,0,0,2843,AKASH,HO,2024,23,STORE
PBGST-2024-30,PBGST,Purchase Bill Against GST (Stores),3040005,03/04/2024,BOMBAY INDUSTRIAL ENTERPRISES,DKG24-25/00071,03/04/2024,4080,0,0,0,0,4080,AKASH,HO,2024,24,STORE
PBCGG-2024-99,PBCGG,Purchase Bill Capital Goods GST,3040001,03/04/2024,SJP AUTO LUBES,W014,03/04/2024,72040,6483.6,6483.6,0,0,85007,NILESH,HO,2024,25,STORE
PBGR-2024-7,PBGRL,Purchase Bill GST (RM Local),3040001,03/04/2024,S A ENTERPRISES,5,03/04/2024,37725,943.13,943.13,0,0,39611,AKASH,HO,2024,26,RAW
PBGR-2024-9,PBGRL,Purchase Bill GST (RM Local),3040002,03/04/2024,VIKAS ENTERPRISES,7/24-25,02/04/2024,138720,3468,3468,0,0,145656,AKASH,HO,2024,27,RAW
PBGR-2024-10,PBGRL,Purchase Bill GST (RM Local),3040003,03/04/2024,S A ENTERPRISES,4,03/04/2024,38850,971.25,971.25,0,0,40793,AKASH,HO,2024,28,RAW
PBGR-2024-11,PBGRL,Purchase Bill GST (RM Local),3040004,03/04/2024,Vijay Traders- CRS,WKP/2024-25/0036,03/04/2024,26160,654,654,0,0,27468,AKASH,HO,2024,29,RAW
PBGR-2024-17,PBGRL,Purchase Bill GST (RM Local),3040005,03/04/2024,MAHESHWARI FUEL CHEM PVT LTD (Coal),MF/APR/0002A2425,01/04/2024,269668.55,6741.71,6741.71,0,0,299808,AKASH,HO,2024,30,COAL
PBGR-2024-19,PBGRL,Purchase Bill GST (RM Local),3040006,03/04/2024,MAHESHWARI FUEL CHEM PVT LTD (Coal),MF/APR/0004A2425,01/04/2024,295961.88,7399.05,7399.05,0,0,329040,AKASH,HO,2024,31,COAL
PBGR-2024-21,PBGRL,Purchase Bill GST (RM Local),3040007,03/04/2024,PATEL ENTERPRISES,4644,03/04/2024,144160,3604,3604,0,0,151368,AKASH,HO,2024,32,RAW
PBGR-2024-23,PBGRL,Purchase Bill GST (RM Local),3040008,03/04/2024,PATEL ENTERPRISES,4648,03/04/2024,146240,3656,3656,0,0,153552,AKASH,HO,2024,33,RAW
PBGR-2024-24,PBGRL,Purchase Bill GST (RM Local),3040009,03/04/2024,GREENPACK INDUSTRIES - Creditors,2425100116,03/04/2024,60975,1524.38,1524.38,0,0,64664,AKASH,HO,2024,34,RAW
PBGR-2024-92,PBGRL,Purchase Bill GST (RM Local),3040010,03/04/2024,AKASHDEEP TRADERS,GST/015/24-25,03/04/2024,155242.5,3881.07,3881.07,0,0,163005,AKASH,HO,2024,35,RAW
PBGR-2024-96,PBGRL,Purchase Bill GST (RM Local),3040011,03/04/2024,MAHESHWARI FUEL CHEM PVT LTD (Coal),MF/APR/0003A2425,01/04/2024,281714.27,7042.86,7042.86,0,0,313200,AKASH,HO,2024,36,COAL
PBGST-2024-1,PBGST,Purchase Bill Against GST (Stores),4040001,04/04/2024,SAHYADRI STARCH & INDUSTRIES PRIVATE LIMITED,MS/38/24-25,04/04/2024,1065000,63900,63900,0,0,1192800,AKASH,HO,2024,37,STORE
PBGST-2024-2,PBGST,Purchase Bill Against GST (Stores),4040002,04/04/2024,ASIAN DYECHEM INDUSTRIES,ADI/24-25/3,02/04/2024,285000,0,0,51300,0,336300,AKASH,HO,2024,38,STORE
PBGST-2024-10,PBGST,Purchase Bill Against GST (Stores),4040003,04/04/2024,SHREEJEE BEARINGS,V0053,04/04/2024,34750,3127.5,3127.5,0,0,41005,AKASH,HO,2024,39,STORE
PBGST-2024-31,PBGST,Purchase Bill Against GST (Stores),4040004,04/04/2024,NN Corrugation Industry.(N),NNC/24-25/003,03/04/2024,248000,22320,22320,0,0,292640,AKASH,HO,2024,40,STORE
